time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-27T21:21:14.220Z,34.5278333,-118.8561667,8.86,1.33,ml,36,42,0.06963,0.24,ci,ci40989024,2024-11-27T21:26:09.497Z,"14 km NNW of Piru, CA",earthquake,0.29,0.82,0.251,31,automatic,ci,ci
2024-11-27T21:20:16.503Z,63.0026,-148.1485,8.4,1.2,ml,,,,1.03,ak,ak024f9f1n8y,2024-11-27T21:22:05.929Z,"59 km SE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2024-11-27T21:04:36.070Z,19.416999816894,-155.86315917969,8.3900003433228,2.13000011,md,23,219,0.153,0.209999993,hv,hv74544022,2024-11-27T21:06:37.650Z,"4 km S of Honaunau-Napoopoo, Hawaii",earthquake,0.9,0.670000017,0.319999993,6,automatic,hv,hv
2024-11-27T20:50:06.280Z,35.633,-117.5795,8.03,1.19,ml,24,67,0.06898,0.14,ci,ci40989000,2024-11-27T20:57:08.015Z,"9 km E of Ridgecrest, CA",earthquake,0.2,0.52,0.166,17,reviewed,ci,ci
2024-11-27T20:47:13.110Z,34.9135,-119.613,8.4,0.98,ml,14,95,0.05794,0.18,ci,ci40989008,2024-11-27T21:06:58.392Z,"25 km SW of Maricopa, CA",earthquake,0.4,0.81,0.058,7,reviewed,ci,ci
2024-11-27T20:36:43.153Z,63.0792,-151.6969,20,1.2,ml,,,,1.02,ak,ak024f9ejp5n,2024-11-27T20:38:56.781Z,"51 km S of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-11-27T20:34:40.723Z,48.6418,100.1068,10,5.1,mb,49,41,4.279,0.74,us,us7000nuku,2024-11-27T20:52:31.040Z,"109 km SSW of Tsengel, Mongolia",earthquake,7.13,1.845,0.081,49,reviewed,us,us
2024-11-27T20:31:40.876Z,40.3887,77.735,10,4.5,mwr,91,109,1.735,0.94,us,us7000nuks,2024-11-27T21:04:31.040Z,"126 km WNW of Tumxuk, China",earthquake,6.11,1.885,0.061,26,reviewed,us,us
2024-11-27T20:19:04.630Z,36.854667663574,-121.5898361206,6.6999998092651,1.44,md,15,91,0.05554,0.1,nc,nc75091776,2024-11-27T20:42:16.767Z,"5 km WNW of San Juan Bautista, CA",earthquake,0.48,0.790000021,0.18,9,automatic,nc,nc
2024-11-27T20:13:39.309Z,63.5115,-149.4961,90.4,1.5,ml,,,,0.63,ak,ak024f9eere2,2024-11-27T20:24:07.222Z,"30 km WNW of Cantwell, Alaska",earthquake,,1.5,,,automatic,ak,ak
2024-11-27T20:13:18.190Z,19.084666666667,-64.798666666667,19.89,3.36,md,14,276,0.6822,0.28,pr,pr71467018,2024-11-27T20:30:57.270Z,"83 km N of Cruz Bay, U.S. Virgin Islands",earthquake,1.34,24.71,0.083591104928417,8,reviewed,pr,pr
2024-11-27T20:05:29.415Z,60.5803,-158.9239,0,2.8,ml,,,,0.87,ak,ak024f9ed0wd,2024-11-27T21:12:57.040Z,"111 km S of Chuathbaluk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-11-27T20:05:05.720Z,33.8495,-117.4983333,-0.24,1.81,ml,68,42,0.05471,0.21,ci,ci40988960,2024-11-27T20:28:09.260Z,"4 km SSE of Home Gardens, CA",quarry blast,0.28,31.61,0.144,69,reviewed,ci,ci
2024-11-27T20:03:55.230Z,34.6351667,-117.1215,-1.17,1.5,ml,31,34,0.1871,0.17,ci,ci40988952,2024-11-27T20:13:42.407Z,"16 km NNE of Apple Valley, CA",quarry blast,0.28,31.61,0.146,25,reviewed,ci,ci
2024-11-27T19:51:04.515Z,60.4659,-152.1189,155,0.3,ml,,,,0.49,ak,ak024f9e1fwz,2024-11-27T19:53:23.471Z,"45 km W of Kalifornsky, Alaska",earthquake,,2.4,,,automatic,ak,ak
2024-11-27T19:31:56.480Z,37.374000549316,-121.72933197022,7.6900000572205,1.21,md,8,120,0.07631,0.04,nc,nc75091766,2024-11-27T20:19:28.613Z,"9 km E of Alum Rock, CA",earthquake,0.47,1.24000001,0.31,6,automatic,nc,nc
2024-11-27T19:30:18.010Z,36.204,-117.8918333,3.94,1.16,ml,21,64,0.09128,0.15,ci,ci40988912,2024-11-27T19:47:04.104Z,"13 km SE of Olancha, CA",earthquake,0.26,0.57,0.175,15,reviewed,ci,ci
2024-11-27T19:23:55.110Z,61.1487,-150.3209,17.5,1.6,ml,,,,0.58,ak,ak024f9dvi5z,2024-11-27T19:25:27.175Z,"23 km WSW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-11-27T19:21:19.120Z,19.196332931519,-155.48832702637,28.739999771118,1.88,md,27,115,0.04765,0.209999993,hv,hv74543842,2024-11-27T19:22:48.490Z,"1 km SW of Pāhala, Hawaii",earthquake,0.7,0.910000026,0.180000007,3,automatic,hv,hv
2024-11-27T19:19:01.330Z,34.0831667,-118.1968333,11.09,1.72,ml,63,30,0.01898,0.18,ci,ci40988888,2024-11-27T20:05:12.050Z,"4 km S of Highland Park, CA",earthquake,0.17,0.26,0.191,58,reviewed,ci,ci
2024-11-27T19:07:03.640Z,19.381000518799,-155.23916625977,2.1300001144409,1.70000005,md,20,72,0.007518,0.170000002,hv,hv74543822,2024-11-27T19:08:26.170Z,"6 km S of Volcano, Hawaii",earthquake,0.34,0.280000001,0.219999999,16,automatic,hv,hv
2024-11-27T19:03:17.390Z,19.179166793823,-155.49465942383,30.260000228882,2.11,ml,55,83,0.03879,0.129999995,hv,hv74543817,2024-11-27T19:06:10.490Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.41,0.589999974,0.55,11,automatic,hv,hv
2024-11-27T18:54:34.920Z,38.842998504639,-122.83149719238,1.2999999523163,1.08,md,20,111,0.005394,0.01,nc,nc75091751,2024-11-27T19:47:19.433Z,"10 km WNW of Cobb, CA",earthquake,0.2,0.389999986,0.17,22,automatic,nc,nc
2024-11-27T18:46:03.690Z,19.303499221802,-155.25450134277,1.1399999856949,2.04,ml,50,103,0.03586,0.209999993,hv,hv74543777,2024-11-27T18:48:56.900Z,"15 km S of Volcano, Hawaii",earthquake,0.21,0.340000004,0.48,21,automatic,hv,hv
2024-11-27T18:43:23.360Z,38.848331451416,-122.76499938965,0.83999997377396,1.1,md,8,192,0.01058,0.03,nc,nc75091731,2024-11-27T20:49:30.817Z,"5 km NW of Cobb, CA",earthquake,0.5,0.699999988,0.17,9,automatic,nc,nc
2024-11-27T18:41:33.203Z,60.3387,-141.8648,0,1.4,ml,,,,0.72,ak,ak024f9ddvrc,2024-11-27T18:44:11.035Z,"134 km SSE of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-11-27T18:40:46.730Z,38.794998168945,-122.78050231934,3.3599998950958,0.72,md,13,96,0.006073,0.02,nc,nc75091726,2024-11-27T20:19:29.613Z,"3 km NW of The Geysers, CA",earthquake,0.37,0.889999986,0.05,14,automatic,nc,nc
2024-11-27T18:40:04.250Z,38.795166015625,-122.7816696167,3.6099998950958,0.72,md,12,76,0.005271,0.01,nc,nc75091721,2024-11-27T19:54:29.474Z,"3 km NW of The Geysers, CA",earthquake,0.3,0.800000012,0.32,13,automatic,nc,nc
2024-11-27T18:32:07.971Z,60.8909,-153.3316,249.9,-0.1,ml,,,,0.88,ak,ak024f9dbypo,2024-11-27T18:39:05.438Z,"93 km NE of Port Alsworth, Alaska",earthquake,,1.5,,,automatic,ak,ak
2024-11-27T18:26:39.454Z,60.9391,-150.4682,55.7,3.3,ml,,,,0.23,ak,ak024f9daoi1,2024-11-27T20:29:39.810Z,"12 km E of Point Possession, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-11-27T18:26:25.080Z,36.1553333,-118.067,3.47,1.22,ml,19,75,0.1758,0.14,ci,ci40988824,2024-11-27T18:46:36.378Z,"15 km SSW of Olancha, CA",earthquake,0.2,0.6,0.146,12,reviewed,ci,ci
2024-11-27T18:12:08.240Z,35.4018333,-118.6545,4.58,0.99,ml,16,91,0.1169,0.14,ci,ci40988800,2024-11-27T18:46:44.690Z,"25 km SW of Bodfish, CA",earthquake,0.27,0.95,0.248,10,reviewed,ci,ci
2024-11-27T18:07:38.271Z,36.5913,-115.6163,2.5,0.6,ml,8,306.03,0.287,0.1928,nn,nn00888033,2024-11-27T18:09:46.379Z,"5 km ENE of Indian Springs, Nevada",earthquake,,17.2,0.39,4,automatic,nn,nn
2024-11-27T18:04:59.170Z,11.2248,125.7403,35,4.6,mb,94,111,4.132,0.59,us,us7000nujz,2024-11-27T19:19:17.040Z,"11 km NE of Salcedo, Philippines",earthquake,10.63,1.899,0.059,86,reviewed,us,us
2024-11-27T17:49:26.310Z,37.474666595459,-121.83083343506,6.8099999427795,2,md,37,36,0.0257,0.07,nc,nc75091681,2024-11-27T18:12:17.825Z,"8 km ENE of Milpitas, CA",earthquake,0.17,0.460000008,0.21,29,automatic,nc,nc
2024-11-27T17:43:28.980Z,44.617833333333,-111.103,9.74,0.83,md,10,159,0.1109,0.14,uu,uu80087331,2024-11-27T18:39:25.390Z,"4 km S of West Yellowstone, Montana",earthquake,0.99,1.7,0.32319908773959,3,reviewed,uu,uu
2024-11-27T17:34:38.440Z,19.431167602539,-155.25115966797,4.9499998092651,1.87,md,7,226,0.02006,0.180000007,hv,hv74543677,2024-11-27T17:36:03.190Z,"2 km SW of Volcano, Hawaii",earthquake,3.91,1.33000004,0.310000002,5,automatic,hv,hv
2024-11-27T17:34:27.830Z,19.388000488281,-155.24867248535,0.74000000953674,2.48000002,md,12,137,0.003512,0.230000004,hv,hv74543682,2024-11-27T17:37:14.250Z,"6 km SSW of Volcano, Hawaii",earthquake,0.43,0.280000001,0.239999995,9,automatic,hv,hv
2024-11-27T17:32:25.040Z,19.168167114258,-155.47450256348,32.139999389648,2.1500001,md,33,133,0.01727,0.140000001,hv,hv74543667,2024-11-27T17:33:55.490Z,"3 km S of Pāhala, Hawaii",earthquake,0.72,0.779999971,0.49000001,6,automatic,hv,hv
